#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
GE|ZKR|35.1147|26.216999|270.0|GEOFON Station Zakros, Crete|2003-09-09T00:00:00.0000|
GG|SE1|63.24852|-42.03487|23.0|Kagssortoq, Greenland|2016-06-15T00:00:00.0000|
GR|GRA1|49.691887|11.22172|499.5|GRAFENBERG ARRAY, BAYERN|1990-01-01T00:00:00.0000|
GS|ALQ1|34.94239|-106.4579|1854.3|ASL Reference STS-2HG|2018-06-14T00:00:00.0000|
GS|ALQ2|34.94239|-106.4579|1854.3|ASL Reference, STS-6|2018-06-14T00:00:00.0000|
GS|ASL8|34.94532|-106.45657|1842.11|ASL8|2017-03-07T00:00:00.0000|
GS|ASL9|34.94532|-106.45658|1820.0|ASL9|2017-03-07T00:00:00.0000|
GT|BOSA|-28.6141|25.2555|1305.8|Boshof, South Africa|1993-02-26T00:00:00.0000|
GT|CPUP|-26.33064|-57.33087|105.0|Villa Florida, Paraguay|1994-07-21T00:00:00.0000|
GT|DBIC|6.67015|-4.85653|161.2|Dimbokro, Ivory Coast|2011-10-18T12:18:00.0000|
GT|LBTB|-25.015124|25.596598|1148.3|Lobatse, Botswana|2011-06-14T11:16:00.0000|
GT|LPAZ|-16.287923|-68.130714|4815.1|La Paz, Bolivia|1993-08-20T00:00:00.0000|
GT|PLCA|-40.732739|-70.550804|1079.7|Paso Flores, Argentina|2002-09-04T10:42:03.0000|
GT|VNDA|-77.517275|161.852758|121.1|Dry Valley, Vanda, Antarctica|1993-12-28T00:00:00.0000|
HK|HKPS|22.277599|114.141502|196.3|Po Shan, Hong Kong|2009-10-29T00:00:00.0000|
HT|AGG|39.021099|22.336|622.0|AGIOS GEORGIOS, GREECE|2006-01-01T00:00:00.0000|
HT|ALN|40.895699|26.0497|110.0|ALEXANDROUPOLIS, GREECE|2006-01-01T00:00:00.0000|
HT|FNA|40.781799|21.383499|750.0|FLORINA, GREECE|2006-01-01T00:00:00.0000|
HT|LIT|40.1008|22.49|480.0|Litochoro, Greece, HT-Net|2006-01-01T00:00:00.0000|
HT|LKD|38.707199|20.6506|1140.0|Lefkada, Greece, HT-Net|2006-01-01T00:00:00.0000|
HT|SOH|40.821701|23.353901|670.0|Sohos, Greece, HT-Net|2006-01-01T00:00:00.0000|
I0|DIY01|54.673542|-116.699463|864.0|Hitic Kaybob 4-4-66-18W5 Frac East of pad 4-4 DIY01|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
I0|DIY02|54.677643|-116.671707|817.0|Hitic Kaybob 4-4-66-18W5 Frac At pad 4-4 DIY02|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
I0|DIY03|54.641575|-116.663879|838.0|Hitic Kaybob 4-4-66-18W5 Frac At Hitic battery, south of pad DIY03|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
I0|LOY01|56.147148|-116.72966|695.1|Obsidian Inj 14-18-82-17W5 HarmonV Well Pad 3-34-82-18W5 LOY01|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
I0|LOY02|56.128571|-116.499634|720.8|Obsidian Inj 14-18-82-17W5 HarmonV Well Pad 13-19-82-16W5 LOY02|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
I0|LOY03|56.130844|-116.661552|720.0|Obsidian Inj 14-18-82-17W5 HarmonV Well Pad Office 13-19-82-17W5 LOY03|2023-04-04T00:00:00.0000|2028-04-04T00:00:00.0000
